user_id,category,other
1840e0b9d4,Продукты,other
4e4f90fcfb,Электроника,other
afea8d72fc,Электроника,other
373a6055fe,Бытовая техника,other
9b2ab046f3,Электроника,other
9f39d307c3,Электроника,other
44edeffc91,Продукты,other
704474fa2d,Продукты,other
1de31be403,Бытовая техника,other
b71f36a5e4,Продукты,other
79843a685a,Продукты,other
ff68cee0d6,Бытовая техника,other
e8447c40e2,Досуг,other
98d290be27,Электроника,other
fa0079a5a8,Досуг,other
22d2f03a17,Досуг,other
3f8e1ccd3f,Электроника,other
81a9988b83,Электроника,other
65f44a2eb7,Досуг,other
5f8fbb0149,Бытовая техника,other
3ecff691fd,Электроника,other
dd0e912251,Электроника,other
9250593d55,Электроника,other
37c4e090e4,Электроника,other
22fa3ea76f,Электроника,other
73b876b237,Электроника,other
f983a69d67,Товары для животных,other
4ea17212f8,Продукты,other
c6de96a5e2,Товары для животных,other
d8e3bcee53,Продукты,other
680aa815f9,Продукты,other
4a92a68cf9,Электроника,other
905e60cb52,Бытовая техника,other
393bcfb298,Продукты,other
06d450cc57,Электроника,other
b60ce22f17,Электроника,other
6f159c4c2e,Товары для животных,other
564202f6bd,Электроника,other
1908683775,Электроника,other
8fd957a463,Продукты,other
72e0a3f1d0,Бытовая техника,other
7f5f56e517,Досуг,other
bc1a0a7e26,Досуг,other
17639fe89d,Досуг,other
74c9201f84,Электроника,other
bc4ebda0df,Досуг,other
fe4615dd15,Досуг,other
d2c560746d,Бытовая техника,other
f0a93d52d2,Электроника,other
fe52ded300,Электроника,other
dbe70d84e4,Строительство и ремонт,other
f660dbcc3f,Электроника,other
f93283c9ee,Бытовая техника,other
66bea9bf58,Бытовая техника,other
111c52d9bc,Продукты,other
16dc76e94d,Электроника,other
87f37b380c,Продукты,other
830421d975,Продукты,other
7d6c62f0a2,Бытовая техника,other
77465a0b61,Бытовая техника,other
ee9eb52181,Товары для животных,other
871c1fa9ae,Продукты,other
03b91dba06,Электроника,other
6cb42b2632,Бытовая техника,other
9ab8f3bbb8,Бытовая техника,other
63df9ee9d3,Электроника,other
2ffd6c724d,Продукты,other
af24cffd03,Электроника,other
421149bb9a,Строительство и ремонт,other
24300c6d1c,Электроника,other
9ca11a651f,Электроника,other
b7e640032f,Электроника,other
3691ad282b,Электроника,other
00ea2f7484,Электроника,other
6f198ac1c9,Бытовая техника,other
0d479d4259,Электроника,other
b461051101,Досуг,other
d39a1d56c3,Бытовая техника,other
316ab03143,Товары для животных,other
78ed39a415,Электроника,other
19d1e4e036,Товары для животных,other
9e765c6822,Продукты,other
ddd50eaa45,Электроника,other
c21b82499e,Электроника,other
da79d9ff30,Товары для животных,other
eded5c6792,Досуг,other
e3654c7f1a,Досуг,other
d20bf10c78,Бытовая техника,other
12de58d8e6,Продукты,other
de85ea0eb6,Электроника,other
dfe6f4ebb4,Бытовая техника,other
9d25ac3886,Досуг,other
d47dd8b814,Электроника,other
c5e1bf636a,Электроника,other
a86e69db63,Продукты,other
91802f78b2,Электроника,other
152ea9bb42,Бытовая техника,other
06569907e6,Бытовая техника,other
9f5bf9b73f,Строительство и ремонт,other
ec11793734,Продукты,other
0cf6ee6c84,Бытовая техника,other
f9a3ef9ac2,Продукты,other
716a1b4e10,Продукты,other
426fa041ad,Электроника,other
c0cd6e93e6,Электроника,other
85ff218333,Строительство и ремонт,other
f537f6c8ea,Бытовая техника,other
749e8694c5,Товары для животных,other
29586e4061,Продукты,other
e9eaffa80a,Бытовая техника,other
da237781d5,Продукты,other
b7195283e1,Товары для животных,other
62f37b821c,Досуг,other
69ae0afab1,Продукты,other
7fa3bf64b4,Досуг,other
4e603d8878,Строительство и ремонт,other
6812661e1c,Электроника,other
6aff7a1677,Бытовая техника,other
88afad2ad9,Продукты,other
0fa7c5b19c,Товары для животных,other
bed9ab14bd,Товары для животных,other
397005e41e,Бытовая техника,other
80023b95ac,Электроника,other
9fb91262f8,Бытовая техника,other
f34a165ad2,Электроника,other
5b7c1e9769,Бытовая техника,other
5655da0e0b,Электроника,other
ef33021c36,не определена,other
